18/08/2026 04:32,,,,
Código,Descrição,Início de Vigência,Fim de Vigência,Taxa de Conversão
530,LIBRA/GIBRALTAR,18/08/2026,-,"7,0531000"
535,LIBRA EGIPCIA,18/08/2026,-,"0,1037000"
540,LIBRA ESTERLINA,18/08/2026,-,"7,0552000"
545,LIBRA/FALKLAND,18/08/2026,-,"7,0531000"
550,LIBRA/IRLANDA,03/01/2002,03/01/2002,"2,6202700"
560,LIBRA LIBANESA,18/08/2026,-,"0,0000581"
565,LIRA/MALTA,22/01/2008,22/01/2008,"2,6109200"
570,LIBRA/STA HELENA,18/08/2026,-,"7,0443000"
575,LIBRA SIRIA,18/08/2026,-,"0,0428000"
585,LILANGENI/SUAZIL,18/08/2026,-,"0,3217000"
595,LIRA ITALIANA,03/01/2002,03/01/2002,"0,0010657"
600,LIRA/TURQUIA,03/05/2001,03/05/2001,"0,0000024"
601,LITA,06/01/2015,06/01/2015,"0,9437000"
603,LOTI/LESOTO,18/08/2026,-,"0,3217000"
607,MANAT,18/08/2026,-,"3,0687000"
608,NOVO MANAT TURCOM,18/08/2026,-,"1,4882000"
610,MARCO ALEMAO,03/01/2002,03/01/2002,"1,0551200"
615,MARCO FINLANDES,03/01/2002,03/01/2002,"0,3470780"
620,METICAL,20/07/2006,20/07/2006,"0,0864650"
622,NOVA METICAL/MOCA,18/08/2026,-,"0,0822400"
625,NAKFA/ERITREIA,18/08/2026,-,"0,3468000"
630,NAIRA/NIGERIA,18/08/2026,-,"0,0038480"
635,CUANZA/ANGOLA,18/08/2026,-,"0,0056980"
640,NOVO DOLAR TAIWAN,18/08/2026,-,"0,1635000"
642,NOVA LIRA/TURQUIA,18/08/2026,-,"0,1086000"
645,NOVO PESO/MEXICO,01/08/1998,31/08/1998,"0,1307220"
660,NOVO SOL/PERU,18/08/2026,-,"1,5472000"
665,NGULTRUM/BUTAO,18/08/2026,-,"0,0544100"
670,UGUIA MAURITANIA,18/08/2026,-,"0,0146100"
671,UGUIA MAURITANIA,18/08/2026,-,"0,1300000"
680,PAANGA,18/08/2026,-,"2,2621000"
685,PATACA/MACAU,18/08/2026,-,"0,6437000"
700,PESETA ESPANHOLA,03/01/2002,03/01/2002,"0,0124030"
706,PESO ARGENTINO,18/08/2026,-,"0,0034970"
715,PESO CHILENO,18/08/2026,-,"0,0056940"
720,PESO COLOMBIANO,18/08/2026,-,"0,0016610"
721,UNIDADE DE VALOR REAL,18/08/2026,-,"0,6939000"
725,PESO CUBANO,18/08/2026,-,"0,2167000"
730,PESO DOMINICANO,18/08/2026,-,"0,0888400"
735,PESO FILIPINO,18/08/2026,-,"0,0845700"
741,PESO/MEXICO,18/08/2026,-,"0,3057000"
745,PESO/URUGUAIO,18/08/2026,-,"0,1300000"
755,PULA/BOTSWANA,18/08/2026,-,"0,4083000"
760,QUACHA DE MALAVI,18/08/2026,-,"0,0030290"
765,QUACHA DE ZAMBIA,03/01/2013,03/01/2013,"0,0003953"
766,QUACHA ZAMBIA,18/08/2026,-,"0,2766000"
770,QUETZAL,18/08/2026,-,"0,6828000"
775,QUIATE/BIRMANIA,18/08/2026,-,"0,0024840"
778,KINA/PAPUA N GUIN,18/08/2026,-,"1,1766000"
779,KUNA/CROACIA,31/12/2022,31/12/2022,"0,7391000"
780,"QUIPE/LAOS, REP",18/08/2026,-,"0,0002319"
785,RANDE,18/08/2026,-,"0,3217000"
790,REAL/BRASIL,13/02/2014,12/02/2050,"1,0000000"
795,IUAN RENMIMBI,18/08/2026,-,"0,7717000"
796,RENMINBI HONG KONG,18/08/2026,-,"0,7716000"
800,RIAL DE CATAR,18/08/2026,-,"1,4270000"
805,RIAL/OMA,18/08/2026,-,"13,5101000"
810,RIAL IEMENITA,18/08/2026,-,"0,0219600"
815,"RIAL/IRAN, REP",18/08/2026,-,"0,0000038"
820,RIAL SAUDITA,18/08/2026,-,"1,3854000"
825,RIEL/CAMBOJA,18/08/2026,-,"0,0012880"
828,RINGGIT (MALASIA),18/08/2026,-,"1,2811000"
829,RUBLO BELARUS,04/07/2016,04/07/2016,"0,0001595"
830,RUBLO/RÚSSIA,18/08/2026,-,"0,0612300"
831,RUBRO BELARUS,18/08/2026,-,"1,7177000"
835,SOMONI TADJIQUIST,18/08/2026,-,"0,5654000"
840,RUPIA DE MAURICIO,18/08/2026,-,"0,1112000"
845,RUPIA DE NEPAL,18/08/2026,-,"0,0340700"
850,RUPIA/SEYCHELES,18/08/2026,-,"0,3681000"
855,RUPIA DE SRILANKA,18/08/2026,-,"0,0156700"
860,RUPIA INDIANA,18/08/2026,-,"0,0544100"
865,RUPIA DA INDONESIA,18/08/2026,-,"0,0002919"
870,RUFIA/MALDIVAS,18/08/2026,-,"0,3373000"
875,RUPIA PAQUISTANES,18/08/2026,-,"0,0187500"
880,SHEKEL,18/08/2026,-,"1,7547000"
892,SOM QUIRGUISTAO,18/08/2026,-,"0,0594800"
893,SOM/UZBEQUISTAO,18/08/2026,-,"0,0004388"
895,SUCRE,28/03/2011,28/03/2011,"0,0000664"
905,TACA/BANGLADESH,18/08/2026,-,"0,0425600"
911,TALA SAMOA OC,03/12/2014,03/12/2014,"6,3082000"
912,TALA SAMOA,18/08/2026,-,"1,9599000"
